univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki
Syiah Kuala University,Afdhal Khalilullah,-,-,-,-
BINUS University,Agni Pratistha,-,-,Puteri Indonesia,-
BINUS University,Agni Pratistha,-,-,Miss Universe 2007,-
BINUS University,Agni Pratistha,-,-,Puteri Central Java,-
BINUS University,Agni Pratistha,-,-,Puteri Indonesia 2006,-
BINUS University,Agni Pratistha,-,-,Miss Universe Indonesia 2007,-
Indonesian Military Academy,Agum Gumelar,-,-,Chairman ad interim Indonesian Football Association,-
Indonesian Military Academy,Agum Gumelar,-,-,Coordinating Ministry for Political and Security Affairs,-
Indonesian Military Academy,Agum Gumelar,-,Defense (Indonesia),Minister,-
Indonesian Military Academy,Agum Gumelar,-,Indonesian Football Association,Chairman,-
Indonesian Military Academy,Agum Gumelar,-,National Sports Committee Of Indonesia,Chairman,-
Indonesian Military Academy,Agum Gumelar,-,Transportation (Indonesia),Ministry,-
Universitas Padjadjaran,Agung Afif,pengusaha,Juara Holding Group,direktur utama,-
Universitas Gadjah Mada,Agung Cahaya Sumirat,-,-,-,-
Christian University of Indonesia,Agung Laksono,-,-,Coordinating Ministry for Human Development and Cultural Affairs,-
Christian University of Indonesia,Agung Laksono,Politician,-,Coordinating Ministry for Human Development and Cultural Affairs,-
Christian University of Indonesia,Agung Laksono,businessman,-,Coordinating Ministry for Human Development and Cultural Affairs,-
Christian University of Indonesia,Agung Laksono,-,House Of Representatives (Indonesia),Speaker,-
Christian University of Indonesia,Agung Laksono,Politician,House Of Representatives (Indonesia),Speaker,-
Christian University of Indonesia,Agung Laksono,businessman,House Of Representatives (Indonesia),Speaker,-
Universitas Brawijaya,Agus Hermanto,lektor,Universitas Negeri Semarang,anggota DPR-RI,-
Universitas Brawijaya,Agus Hermanto,politikus,Universitas Negeri Semarang,anggota DPR-RI,-
Universitas Brawijaya,Agus Hermanto,lektor,Universitas Negeri Semarang,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Universitas Brawijaya,Agus Hermanto,politikus,Universitas Negeri Semarang,anggota Dewan Perwakilan Rakyat Daerah Indonesia,-
Indonesian Military Academy,Agus Isrok Mikroj,-,-,-,-
Indonesian Military Academy,Agus Subiyanto,-,-,Kodam III/Siliwangi,-
Indonesian Military Academy,Agus Subiyanto,-,Indonesian National Armed Forces,Commander,-
Indonesian Military Academy,Agus Subiyanto,-,Staff Of The Indonesian Army,Chief,-
Indonesian Military Academy,Agus Subiyanto,-,Staff Of The Indonesian Army,Vice chief,-
Indonesian Naval Academy,Agus Suhartono,-,-,Indonesian National Armed Forces,-
Indonesian Naval Academy,Agus Suhartono,-,Staff,Indonesian navy chief,-
Tadulako University,Ahmad Ali (Indonesian politician),-,-,-,-
Indonesian State College of Accountancy,Ahmad Syaikhu,-,-,-,-
Sekolah Tinggi Akuntansi Negara,Ahmad Syaikhu,politikus,Badan Pengawasan Keuangan dan Pembangunan,anggota DPR-RI,https://en.wikipedia.org/wiki/Ahmad_Syaikhu
Bandung Islamic University,Ahmad Taufik,-,-,-,-
Bandung Islamic University,Ahmad Taufik,Journalist,-,-,-
Universitas Gadjah Mada,Ahmad Wahib,-,-,-,-
Universitas Gadjah Mada,Ahmad Wahib,journalist,-,-,-
Parahyangan Catholic University,Airin Rachmi Diany,-,-,-,-
Institut Teknologi Bandung,Akhmaloka,akademisi,Institut Teknologi Bandung,Rektor,-
Institut Teknologi Bandung,Akhmaloka,lektor,Institut Teknologi Bandung,Rektor,-
Institut Teknologi Bandung,Akhmaloka,pegawai negeri sipil,Institut Teknologi Bandung,Rektor,-
Christian University of Indonesia,Albert Hasibuan,"Lawyer, Politician",-,-,-
Universitas Gadjah Mada,Albert Hasibuan,"Lawyer, Politician",-,-,-
Institut Teknologi Bandung,Alessandra Usman,-,-,Puteri Indonesia,-
Institut Teknologi Bandung,Alessandra Usman,-,-,Puteri Gorontalo,-
Institut Teknologi Bandung,Alessandra Usman,-,-,Puteri Indonesia 2010,-
Institut Teknologi Bandung,Alessandra Usman,-,-,Puteri Indonesia Pariwisata 2010,-
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,Ulama,-,Habib,-
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,Da'i,-,Habib,-
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,-,-,Habib,-
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,"Politician, da'i, islamic scholar",-,Habib,-
Hasanuddin University,Ali Baal Masdar,Politician,-,-,-
Syiah Kuala University,Ali Basrah,Politician,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,-,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,-,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,Film director,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,novelist,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,screenwriter,-,-,-
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,journalist,-,-,-
Tarumanagara University,Ali Taher,-,-,-,-
Diponegoro University,Alvin Lie,-,-,-,-
Trisakti University,Alya Rohali,-,-,Puteri Indonesia,-
Trisakti University,Alya Rohali,-,-,Puteri Jakarta SCR 1,-
Trisakti University,Alya Rohali,-,-,Puteri Indonesia 1996-1999,-
Syarif Hidayatullah State Islamic University Jakarta,Amany Lubis,Rector (academia),Syarif Hidayatullah State Islamic University Jakarta,Rector,-
Syarif Hidayatullah State Islamic University Jakarta,Amany Lubis,Rector of Syarif Hidayatullah State Islamic University Jakarta,Syarif Hidayatullah State Islamic University Jakarta,Rector,-
Indonesian Naval Academy,Amarulla Octavian,-,-,-,-
Indonesian Military Academy,Amin Syam,Military officer,-,-,-
Universitas Medan Area,Amir Hamzah,pegawai negeri sipil,Pemerintah Kota Binjai,Wali kota,-
Universitas Medan Area,Amir Hamzah,politikus,Pemerintah Kota Binjai,Wali kota,-
Indonesian Military Academy,Amir Machmud,-,House Of Representatives (Indonesia),Speaker,-
Indonesian Military Academy,Amir Machmud,Politician,House Of Representatives (Indonesia),Speaker,-
Indonesian Military Academy,Amir Machmud,army officer,House Of Representatives (Indonesia),Speaker,-
Indonesian Military Academy,Amir Machmud,-,People'S Consultative Assembly,Speakers,-
Indonesian Military Academy,Amir Machmud,Politician,People'S Consultative Assembly,Speakers,-
Indonesian Military Academy,Amir Machmud,army officer,People'S Consultative Assembly,Speakers,-
Hasanuddin University,Amran Sulaiman,-,-,-,-
University of North Sumatra,Amru Daulay,-,-,-,-
Universitas Trisakti,Anang Iskandar,petugas polisi,Kepolisian Negara Republik Indonesia,Gubernur Akademi Kepolisian,https://en.wikipedia.org/wiki/Anang_Iskandar
Universitas Trisakti,Anang Iskandar,politikus,Kepolisian Negara Republik Indonesia,Gubernur Akademi Kepolisian,https://en.wikipedia.org/wiki/Anang_Iskandar
Universitas Trisakti,Anang Iskandar,petugas polisi,Kepolisian Negara Republik Indonesia,Kepala Kepolisian Daerah Jambi,https://en.wikipedia.org/wiki/Anang_Iskandar
Universitas Trisakti,Anang Iskandar,politikus,Kepolisian Negara Republik Indonesia,Kepala Kepolisian Daerah Jambi,https://en.wikipedia.org/wiki/Anang_Iskandar
National University (Indonesia),Andhika Chrisnayudhanto,-,-,-,-
Mulawarman University,Andi Harun,-,-,-,-
Sunan Kalijaga State Islamic University,Andi Rasdiyanah Amir,-,-,-,-
Indonesian Military Academy,Andi Sumangerukka,-,-,-,-
Swiss German University,Andi Tenri Natassa,-,-,Puteri Indonesia,-
Swiss German University,Andi Tenri Natassa,actress,-,Puteri Indonesia,-
Swiss German University,Andi Tenri Natassa,Model,-,Puteri Indonesia,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Puteri Indonesia,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Puteri Indonesia,-
Swiss German University,Andi Tenri Natassa,-,-,Puteri Indonesia 2011,-
Swiss German University,Andi Tenri Natassa,actress,-,Puteri Indonesia 2011,-
Swiss German University,Andi Tenri Natassa,Model,-,Puteri Indonesia 2011,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Puteri Indonesia 2011,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Puteri Indonesia 2011,-
Swiss German University,Andi Tenri Natassa,-,-,Puteri South Sulawesi,-
Swiss German University,Andi Tenri Natassa,actress,-,Puteri South Sulawesi,-
Swiss German University,Andi Tenri Natassa,Model,-,Puteri South Sulawesi,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Puteri South Sulawesi,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Puteri South Sulawesi,-
Swiss German University,Andi Tenri Natassa,-,-,Miss Asia Pacific World,-
Swiss German University,Andi Tenri Natassa,actress,-,Miss Asia Pacific World,-
Swiss German University,Andi Tenri Natassa,Model,-,Miss Asia Pacific World,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Miss Asia Pacific World,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Miss Asia Pacific World,-
Swiss German University,Andi Tenri Natassa,-,-,Miss Asia Pacific World 2012,-
Swiss German University,Andi Tenri Natassa,actress,-,Miss Asia Pacific World 2012,-
Swiss German University,Andi Tenri Natassa,Model,-,Miss Asia Pacific World 2012,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Miss Asia Pacific World 2012,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Miss Asia Pacific World 2012,-
Swiss German University,Andi Tenri Natassa,-,-,Puteri Indonesia Pariwisata 2011,-
Swiss German University,Andi Tenri Natassa,actress,-,Puteri Indonesia Pariwisata 2011,-
Swiss German University,Andi Tenri Natassa,Model,-,Puteri Indonesia Pariwisata 2011,-
Swiss German University,Andi Tenri Natassa,TV presenter,-,Puteri Indonesia Pariwisata 2011,-
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,-,Puteri Indonesia Pariwisata 2011,-
Trisakti University,Andreano Erwin,-,-,-,-
Diponegoro University,Anindya Kusuma Putri,-,-,Puteri Indonesia,-
Diponegoro University,Anindya Kusuma Putri,-,-,Puteri Central Java,-
Diponegoro University,Anindya Kusuma Putri,-,-,Puteri Indonesia 2015,-
Diponegoro University,Anindya Kusuma Putri,-,-,Miss Universe Indonesia 2015,-
Parahyangan Catholic University,Anita Lidya Luhulima,-,-,-,-
University of Riau,Ansar Ahmad (Indonesian politician),-,-,-,-
Sriwijaya University,Antasari Azhar,-,-,-,-
Diponegoro University,Apolo Safanpo,-,-,-,-
Sebelas Maret University,Apolo Safanpo,-,-,-,-
Institut Teknologi Sepuluh Nopember,Apolo Safanpo,-,-,-,-
Universitas Syiah Kuala,Apridar,dosen,Universitas Syiah Kuala,rektor,-
Universitas Syiah Kuala,Apridar,pegawai negeri sipil,Universitas Syiah Kuala,rektor,-
Universitas Syiah Kuala,Apridar,dosen,Universitas Syiah Kuala,profesor,-
Universitas Syiah Kuala,Apridar,pegawai negeri sipil,Universitas Syiah Kuala,profesor,-
Institut Teknologi Bandung,Arcandra Tahar,-,-,-,-
Airlangga University,Ardi Hermawan,-,-,-,-
Universitas Indonesia,Ari Kuncoro,pegawai negeri sipil,Universitas Indonesia,Rektor,https://en.wikipedia.org/wiki/Ari_Kuncoro
Universitas Indonesia,Ari Kuncoro,pegawai negeri sipil,Universitas Indonesia,Majelis wali amanat  periode 2019-2024,https://en.wikipedia.org/wiki/Ari_Kuncoro
Airlangga University,Ari Lasso,-,-,-,-
Airlangga University,Ari Lasso,"Singer, songwriter, actor",-,-,-
Diponegoro University,Arief Hidayat,-,Constitutional Court Of Indonesia,Chief justice,-
Diponegoro University,Arief Hidayat,-,Constitutional Court Of Indonesia,Deputy chief justice,-
Universitas Airlangga,Arief Hidayat,Hakim,Mahkamah Konstitusi Republik Indonesia,Hakim Konstitusi Republik Indonesia,https://en.wikipedia.org/wiki/Arief_Hidayat
Universitas Diponegoro,Arief Hidayat,Hakim,Mahkamah Konstitusi Republik Indonesia,Hakim Konstitusi Republik Indonesia,https://en.wikipedia.org/wiki/Arief_Hidayat
Universitas Airlangga,Arief Hidayat,Hakim,Universitas Diponegoro,Hakim Konstitusi Republik Indonesia,https://en.wikipedia.org/wiki/Arief_Hidayat
Universitas Diponegoro,Arief Hidayat,Hakim,Universitas Diponegoro,Hakim Konstitusi Republik Indonesia,https://en.wikipedia.org/wiki/Arief_Hidayat
Universitas Gadjah Mada,Arief Hidayat (diplomat),-,-,-,-
Universitas Gadjah Mada,Arief Rachadiono Wismansyah,-,-,-,-
Hasanuddin University,Arief Rachadiono Wismansyah,-,-,-,-
Institut Teknologi Bandung,Arief Yahya,-,-,-,-
IPB University,Arif Budimanta,-,-,-,-
IPB University,Arif Budimanta,Economist,-,-,-
IPB University,Arif Budimanta,Lecturer,-,-,-
IPB University,Arif Budimanta,Politician,-,-,-
IPB University,Arif Budimanta,Writer,-,-,-
Institut Teknologi Bandung,Arifin Tasrif,-,-,-,-
Geophysical Engineering Department of Unila,Arinal Djunaidi,-,-,-,-
Lampung University,Arinal Djunaidi,-,-,-,-
University of Lampung,Arinal Djunaidi,-,-,-,-
Sebelas Maret University,Arsyadjuliandi Rachman,-,-,-,-
Trisakti University,Arteria Dahlan,-,-,-,-
Universitas Gadjah Mada,Artika Sari Devi,-,-,Puteri Indonesia,-
Universitas Gadjah Mada,Artika Sari Devi,-,-,Puteri Indonesia 2004,-
Universitas Gadjah Mada,Artika Sari Devi,-,-,Puteri Bangka Belitung,-
Universitas Gadjah Mada,Artika Sari Devi,-,-,Miss Universe Indonesia 2005,-
Sekolah Tinggi Ilmu Hukum Sultan Adam,Ary Egahni Ben Bahat,lektor,Sekolah Tinggi Ilmu Hukum Tambun Bungai,anggota DPR-RI,-
Sekolah Tinggi Ilmu Hukum Sultan Adam,Ary Egahni Ben Bahat,politikus,Sekolah Tinggi Ilmu Hukum Tambun Bungai,anggota DPR-RI,-
Universitas Lambung Mangkurat,Ary Egahni Ben Bahat,lektor,Sekolah Tinggi Ilmu Hukum Tambun Bungai,anggota DPR-RI,-
Universitas Lambung Mangkurat,Ary Egahni Ben Bahat,politikus,Sekolah Tinggi Ilmu Hukum Tambun Bungai,anggota DPR-RI,-
State University of Jakarta,Asep Kambali,-,-,-,-
Airlangga University,Aswanto,Justice (title),-,-,-
Universitas Gadjah Mada,Aswanto,Justice (title),-,-,-
Hasanuddin University,Aswanto,Justice (title),-,-,-
Parahyangan Catholic University,Asyifa Latief,-,-,Miss Indonesia,-
Parahyangan Catholic University,Asyifa Latief,-,-,Miss Indonesia 2010,-
State University of Malang,Awang Faroek Ishak,-,"East Kalimantan, Indonesia Governance",Governor,-
State University of Malang,Awang Faroek Ishak,-,"East Kutai, Indonesia",Regent,-
Syarif Hidayatullah State Islamic University Jakarta,Ayang Utriza Yakin,-,-,-,-
Udayana University,Ayu Diandra Sari,-,-,Puteri Indonesia,-
Udayana University,Ayu Diandra Sari,presenter,-,Puteri Indonesia,-
Udayana University,Ayu Diandra Sari,fashion model,-,Puteri Indonesia,-
Udayana University,Ayu Diandra Sari,doctor,-,Puteri Indonesia,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Puteri Indonesia,-
Udayana University,Ayu Diandra Sari,-,-,Puteri Indonesia 2008,-
Udayana University,Ayu Diandra Sari,presenter,-,Puteri Indonesia 2008,-
Udayana University,Ayu Diandra Sari,fashion model,-,Puteri Indonesia 2008,-
Udayana University,Ayu Diandra Sari,doctor,-,Puteri Indonesia 2008,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Puteri Indonesia 2008,-
Udayana University,Ayu Diandra Sari,-,-,Miss International 2009,-
Udayana University,Ayu Diandra Sari,presenter,-,Miss International 2009,-
Udayana University,Ayu Diandra Sari,fashion model,-,Miss International 2009,-
Udayana University,Ayu Diandra Sari,doctor,-,Miss International 2009,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Miss International 2009,-
Udayana University,Ayu Diandra Sari,-,-,Puteri Indonesia Lingkungan,-
Udayana University,Ayu Diandra Sari,presenter,-,Puteri Indonesia Lingkungan,-
Udayana University,Ayu Diandra Sari,fashion model,-,Puteri Indonesia Lingkungan,-
Udayana University,Ayu Diandra Sari,doctor,-,Puteri Indonesia Lingkungan,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Puteri Indonesia Lingkungan,-
Udayana University,Ayu Diandra Sari,-,-,Puteri Indonesia Lingkungan 2008,-
Udayana University,Ayu Diandra Sari,presenter,-,Puteri Indonesia Lingkungan 2008,-
Udayana University,Ayu Diandra Sari,fashion model,-,Puteri Indonesia Lingkungan 2008,-
Udayana University,Ayu Diandra Sari,doctor,-,Puteri Indonesia Lingkungan 2008,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Puteri Indonesia Lingkungan 2008,-
Udayana University,Ayu Diandra Sari,-,-,Miss International Indonesia 2009,-
Udayana University,Ayu Diandra Sari,presenter,-,Miss International Indonesia 2009,-
Udayana University,Ayu Diandra Sari,fashion model,-,Miss International Indonesia 2009,-
Udayana University,Ayu Diandra Sari,doctor,-,Miss International Indonesia 2009,-
Udayana University,Ayu Diandra Sari,Beauty pageant titleholders,-,Miss International Indonesia 2009,-
Airlangga University,Ayu Maulida,People's Consultative Assembly,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,Beauty pageant,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,People's Consultative Assembly,-,Puteri East Java,-
Airlangga University,Ayu Maulida,Beauty pageant,-,Puteri East Java,-
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,-,Puteri East Java,-
Airlangga University,Ayu Maulida,-,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,model,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,beauty pageant titleholder,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,Indonesian People's Consultative Assembly Ambassador,-,Puteri Indonesia,-
Airlangga University,Ayu Maulida,-,-,Puteri East Java,-
Airlangga University,Ayu Maulida,model,-,Puteri East Java,-
Airlangga University,Ayu Maulida,beauty pageant titleholder,-,Puteri East Java,-
Airlangga University,Ayu Maulida,Indonesian People's Consultative Assembly Ambassador,-,Puteri East Java,-
Airlangga University,Ayu Maulida,People's Consultative Assembly,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,Beauty pageant,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,-,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,model,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,beauty pageant titleholder,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,Indonesian People's Consultative Assembly Ambassador,-,Puteri Indonesia 2020,-
Airlangga University,Ayu Maulida,People's Consultative Assembly,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,Beauty pageant,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,-,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,model,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,beauty pageant titleholder,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,Indonesian People's Consultative Assembly Ambassador,-,Miss Universe Indonesia 2020,-
Airlangga University,Ayu Maulida,People's Consultative Assembly,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,Beauty pageant,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,COVID-19 Response Acceleration Task Force,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,-,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,model,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,beauty pageant titleholder,-,Puteri Indonesia Jawa Timur 2020,-
Airlangga University,Ayu Maulida,Indonesian People's Consultative Assembly Ambassador,-,Puteri Indonesia Jawa Timur 2020,-
Institut Teknologi Bandung,Ayu Purwarianti,dosen,Institut Teknologi Bandung,Dosen,-
Institut Teknologi Bandung,Ayu Purwarianti,lektor,Institut Teknologi Bandung,Dosen,-
Institut Teknologi Bandung,Ayu Purwarianti,pegawai negeri sipil,Institut Teknologi Bandung,Dosen,-
Institut Teknologi Bandung,Ayu Purwarianti,ilmuwan komputer,Institut Teknologi Bandung,Dosen,-
Udayana University,Ayu Saraswati,People's Consultative Assembly,-,-,-
Udayana University,Ayu Saraswati,-,-,-,-
Udayana University,Ayu Saraswati,model,-,-,-
Udayana University,Ayu Saraswati,beauty pageant titleholder,-,-,-
Udayana University,Ayu Saraswati,medical practitioner,-,-,-
